sentence_id;raw;correct;type;correct_indexes
191;Сидя на коленях отца (1) и (2) взглядывая по временам на спокойное лицо матери (3) находившейся обычно тут же (4) я испытывал настоящее счастье (5) доступное только ребёнку или (6) награждённому необычайной душевной силой (7) человеку.;Сидя на коленях отца и взглядывая по временам на спокойное лицо матери, находившейся обычно тут же, я испытывал настоящее счастье, доступное только ребёнку или награждённому необычайной душевной силой человеку.;17;['(3)', '(4)', '(5)']
192;Он шёл (1) нехотя (2) будто нарочно цепляя кроссовкой о кроссовку (3) прикрыв глаза (4) и (5) видя только серый асфальт и следы (6) оставленные на нём (7) каблуками матери.;Он шёл нехотя, будто нарочно цепляя кроссовкой о кроссовку, прикрыв глаза и видя только серый асфальт и следы, оставленные на нём каблуками матери.;17;['(2)', '(3)', '(6)']
193;Я сижу в коридоре (1) выстланном белым линолеумом (2) рассматривая композицию в розовых горшочках (3) подвешенных (4) на (5) чем-то напоминающей паутину (6) проволочной конструкции (7) и жду.;Я сижу в коридоре, выстланном белым линолеумом, рассматривая композицию в розовых горшочках, подвешенных на чем-то напоминающей паутину проволочной конструкции, и жду.;17;['(1)', '(2)', '(3)', '(7)']
194;Словно обойдя своё царство (1) испытав свою власть (2) и (3) убедившись во всеобщей покорности (4) она вошла в залу и (5) взяв гитару (6) стала перебирать струны (7) выделывая фразу из одной оперы (8) слышанной ею в Петербурге.;Словно обойдя своё царство, испытав свою власть и убедившись во всеобщей покорности, она вошла в залу и, взяв гитару, стала перебирать струны, выделывая фразу из одной оперы, слышанной ею в Петербурге.;17;['(1)', '(4)', '(5)', '(6)', '(7)', '(8)']
195;Горный воздух (1) наполненный звонкой тишиной (2) привлекает людей (3) стремящихся к единению с природой и (4) получающих прилив новых сил и энергии.;Горный воздух, наполненный звонкой тишиной, привлекает людей, стремящихся к единению с природой и получающих прилив новых сил и энергии.;17;['(1)', '(2)', '(3)']
196;Город (1) вдали сверкающий на солнце (2) синие леса (3) окаймляющие берега залива (4) казались мне особенно торжественными.;Город, вдали сверкающий на солнце, синие леса, окаймляющие берега залива, казались мне особенно торжественными.;17;['(1)', '(2)', '(3)', '(4)']
197;Гость (1) давно уже встревоженный (2) и (3) чем-то озадаченный (4) молча ждал (5) пытаясь хоть приблизительно определить предстоящий поворот разговора (6) и хозяйка (7) словно угадав его мысли (8) заохала и села на диван (9) устраиваясь удобнее.;Гость, давно уже встревоженный и чем-то озадаченный, молча ждал, пытаясь хоть приблизительно определить предстоящий поворот разговора, и хозяйка, словно угадав его мысли, заохала и села на диван, устраиваясь удобнее.;17;['(1)', '(4)', '(5)', '(6)', '(7)', '(8)', '(9)']
198;"Гость (1) давно уже встревоженный (2) и (3) чем-то озадаченный (4) молча ждал (5) пытаясь (6) хоть приблизительно определить предстоящий поворот разговора; и хозяйка (7) словно угадав его мысли (8) заворочалась, заохала (9) устраиваясь удобнее.";"Гость, давно уже встревоженный и чем-то озадаченный, молча ждал, пытаясь хоть приблизительно определить предстоящий поворот разговора; и хозяйка, словно угадав его мысли, заворочалась, заохала, устраиваясь удобнее.";17;['(1)', '(4)', '(5)', '(7)', '(8)', '(9)']
199;Государственная Третьяковская галерея (1) коллекция (2) которой (3) насчитывает более шестидесяти тысяч художественных произведений (4) отражает развитие русского искусства начиная с XI века.;Государственная Третьяковская галерея, коллекция которой насчитывает более шестидесяти тысяч художественных произведений, отражает развитие русского искусства начиная с XI века.;19;['(1)', '(4)']
200;Грозовая туча (1) по временам сверкавшая молниями (2) и издававшая недовольное рокотание (3) спешила на северо-восток (4) всё более открывая тёмное звёздное небо.;Грозовая туча, по временам сверкавшая молниями и издававшая недовольное рокотание, спешила на северо-восток, всё более открывая тёмное звёздное небо.;17;['(1)', '(3)', '(4)']
201;Громадные валы́ совершенно чёрной воды, и даже не воды, а земли и песка (1) поднятого со дна (2) летели (3) перекатываясь друг через друга (4) и (5) ударяясь о выступ берега (6) шли назад.;Громадные валы́ совершенно чёрной воды, и даже не воды, а земли и песка, поднятого со дна, летели, перекатываясь друг через друга, и, ударяясь о выступ берега, шли назад.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
202;"Природа засыпает тихо, смирно; неподвижная и немая (1) она (2) утомлённая за весну и лето (3) нежится под (4) ласково греющими (5) лучами солнца, и (6) глядя на этот начинающийся покой (7) вам самим хочется успокоиться.";"Природа засыпает тихо, смирно; неподвижная и немая, она, утомлённая за весну и лето, нежится под ласково греющими лучами солнца, и, глядя на этот начинающийся покой, вам самим хочется успокоиться.";17;['(1)', '(2)', '(3)', '(6)', '(7)']
203;Громову казалось (1) что (2) если бы он держал свёрток покрепче (3) то тот остался бы у него в руке (4) что позволило бы сохранить в целости его содержимое.;Громову казалось, что если бы он держал свёрток покрепче, то тот остался бы у него в руке, что позволило бы сохранить в целости его содержимое.;20;['(1)', '(3)', '(4)']
204;Гудели чёрные тополя (1) и (2) хотя море ещё играло прибоем (3) стало заметно (4) как постепенно расчищалось небо.;Гудели чёрные тополя, и, хотя море ещё играло прибоем, стало заметно, как постепенно расчищалось небо.;20;['(1)', '(2)', '(3)', '(4)']
205;В кухне (1) залитой солнцем (2) бабушка раскатывала тесто для булочек (3) щедро посыпая его сахаром и корицей (4) и (5) порой задумавшись о чём-то (6) счастливо улыбалась.;В кухне, залитой солнцем, бабушка раскатывала тесто для булочек, щедро посыпая его сахаром и корицей, и, порой задумавшись о чём-то, счастливо улыбалась.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
206;Облака (1) отражённые в воде (2) можно спутать со слегка розовеющими (3) островами (4) похожими на материки.;Облака, отражённые в воде, можно спутать со слегка розовеющими островами, похожими на материки.;17;['(1)', '(2)', '(4)']
207;Краснея (1) и (2) теребя от волнения рукава (3) закрывающие руки до кончиков пальцев (4) Катя стояла перед дверью (5) никак не решаясь (6) нажать на кнопку звонка (7) и почти не дышала.;Краснея и теребя от волнения рукава, закрывающие руки до кончиков пальцев, Катя стояла перед дверью, никак не решаясь нажать на кнопку звонка, и почти не дышала.;17;['(3)', '(4)', '(5)', '(7)']
208;На балконе (1) залитом солнцем (2) справа стояли чайный столик ручной работы и два плетёных кресла, а в левом углу (3) источая тонкий аромат (4) красовались (5) недавно распустившиеся (6) цветы.;На балконе, залитом солнцем, справа стояли чайный столик ручной работы и два плетёных кресла, а в левом углу, источая тонкий аромат, красовались недавно распустившиеся цветы.;17;['(1)', '(2)', '(3)', '(4)']
209;"Расположившись в кресле-качалке около (1) уютно трещавшего (2) камина (3) и (4) укрыв ноги пледом (5) Соня долго смотрела на огонь и счастливо улыбалась; успокоенная теплом и тишиной (6) она даже не заметила, как задремала.";"Расположившись в кресле-качалке около уютно трещавшего камина и укрыв ноги пледом, Соня долго смотрела на огонь и счастливо улыбалась; успокоенная теплом и тишиной, она даже не заметила, как задремала.";17;['(5)', '(6)']
210;"Екатерина с улыбкой замерла (1) выйдя на сцену под гром аплодисментов (2) и (3) выждав паузу (4) запела; зрители (5) ошеломлённые красотой её голоса (6) ставшего с годами ещё более глубоким и чистым (7) слушали с (8) внезапно выступившими на глазах (9) слезами.";"Екатерина с улыбкой замерла, выйдя на сцену под гром аплодисментов, и, выждав паузу, запела; зрители, ошеломлённые красотой её голоса, ставшего с годами ещё более глубоким и чистым, слушали с внезапно выступившими на глазах слезами.";17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)', '(7)']
211;Гусаков подумал (1) что (2) надо было фельдшера, а не старшину послать в деревню (3) потому что (4) хотя (5) старшина и назвался разведчиком (6) но в разведку он пошёл впервые.;Гусаков подумал, что надо было фельдшера, а не старшину послать в деревню, потому что хотя старшина и назвался разведчиком, но в разведку он пошёл впервые.;20;['(1)', '(3)', '(6)']
212;Давно было известно (1) что (2) если бросить в море кусок несвежего мяса (3) акулы в этом месте не появляются (4) ведь их отпугивает запах уксусной кислоты.;Давно было известно, что, если бросить в море кусок несвежего мяса, акулы в этом месте не появляются, ведь их отпугивает запах уксусной кислоты.;20;['(1)', '(2)', '(3)', '(4)']
213;В цилиндре и шёлковой накидке, с тростью (1) протянутой вперёд, как рапира, с ужасом (2) написанным на его почти девичьем лице (3) стоял (4) расставив ноги (5) королевич (6) как бы видя перед собой собственное чёрное отражение в незримом разбитом зеркале.;В цилиндре и шёлковой накидке, с тростью, протянутой вперёд, как рапира, с ужасом, написанным на его почти девичьем лице, стоял, расставив ноги, королевич, как бы видя перед собой собственное чёрное отражение в незримом разбитом зеркале.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
214;Нержин на ходу снял телогрейку, зашвырнул её к себе на (1) ещё не стеленную (2) постель (3) и (4) приветствуя Потапова, но (5) не дослушивая его ответа (6) убежал завтракать.;Нержин на ходу снял телогрейку, зашвырнул её к себе на ещё не стеленную постель и, приветствуя Потапова, но не дослушивая его ответа, убежал завтракать.;17;['(4)', '(6)']
215;Только что покинувший свой костёр (1) охотник двигался вдоль реки и (2) рассматривая след медведя (3) направлялся к горам сквозь тонкий пар (4) полный странных видений.;Только что покинувший свой костёр охотник двигался вдоль реки и, рассматривая след медведя, направлялся к горам сквозь тонкий пар, полный странных видений.;17;['(2)', '(3)', '(4)']
216;Даже не зная соответствующих установлений, можно было бы догадаться (1) что (2) нельзя на крутом берегу реки (3) где обычно располагались древнерусские города (4) ставить большие здания на площади, выходящей на реку, «спиной» к реке.;Даже не зная соответствующих установлений, можно было бы догадаться, что нельзя на крутом берегу реки, где обычно располагались древнерусские города, ставить большие здания на площади, выходящей на реку, «спиной» к реке.;19;['(1)', '(3)', '(4)']
217;Дача (1) может быть (2) названа колыбелью, с которой для каждого из нас начиналось постижение мира, поначалу ограниченное садом, затем огромной улицей, потом участками и (3) наконец (4) всей загородной стороной.;Дача может быть названа колыбелью, с которой для каждого из нас начиналось постижение мира, поначалу ограниченное садом, затем огромной улицей, потом участками и, наконец, всей загородной стороной.;18;['(3)', '(4)']
218;"На Дмитрии Сергеевиче были тёплые рукавички, и он их предложил мне; понимая всем сердцем столь дорогую жертву (1) приносимую в утешение мне (2) я едва напялил обратно на руки академика драгоценные те рукавички и (3) приобняв его (4) повёл его из-под мокрого неба под крышу (5) повторяя голосом (6) звенящим от слёз (7) слова благодарности.";"На Дмитрии Сергеевиче были тёплые рукавички, и он их предложил мне; понимая всем сердцем столь дорогую жертву, приносимую в утешение мне, я едва напялил обратно на руки академика драгоценные те рукавички и, приобняв его, повёл его из-под мокрого неба под крышу, повторяя голосом, звенящим от слёз, слова благодарности.";17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)', '(7)']
219;Он хотел было бросить бумажку в (1) окаменевший желтовато-серый сугроб, но (2) вспомнив о конспирации (3) смял и сунул в карман, затем одёрнул (4) вздыбившийся от быстрой ходьбы (5) пуховик и (6) набрав цифровой код на двери (7) открыл её и проник в полуподвальное помещение (8) похожее на заброшенный паспортный стол.;Он хотел было бросить бумажку в окаменевший желтовато-серый сугроб, но, вспомнив о конспирации, смял и сунул в карман, затем одёрнул вздыбившийся от быстрой ходьбы пуховик и, набрав цифровой код на двери, открыл её и проник в полуподвальное помещение, похожее на заброшенный паспортный стол.;17;['(2)', '(3)', '(6)', '(7)', '(8)']
220;Два друга (1) между тем (2) были так увлечены беседой, что (3) кажется (4) и не заметили, как наступил рассвет.;Два друга между тем были так увлечены беседой, что, кажется, и не заметили, как наступил рассвет.;18;['(3)', '(4)']
221;Дверь подъезда внезапно распахнулась (1) и на улицу выскочил неопрятного вида крепкий молодой человек (2) который (3) если бы Алексей не успел в последний момент посторониться (4) наверняка налетел бы прямо на него.;Дверь подъезда внезапно распахнулась, и на улицу выскочил неопрятного вида крепкий молодой человек, который, если бы Алексей не успел в последний момент посторониться, наверняка налетел бы прямо на него.;20;['(1)', '(2)', '(3)', '(4)']
222;Ребята вернулись на станцию, потом долго сидели на перроне (1) ошеломлённые (2) вдруг наступившей (3) разлукой со спутниками (4) сделавшимися, считай, друзьями (5) и (6) глядя вслед (7) давно уже отбывшему (8) эшелону (9) молчали.;Ребята вернулись на станцию, потом долго сидели на перроне, ошеломлённые вдруг наступившей разлукой со спутниками, сделавшимися, считай, друзьями, и, глядя вслед давно уже отбывшему эшелону, молчали.;17;['(1)', '(4)', '(5)', '(6)', '(9)']
223;В 1878 году (1) показанная на VI передвижной выставке (2) картина «Московский дворик» принесла В. Д. Поленову славу (3) явив рождение в русской живописи нового жанра (4) названного «интимным» пейзажем.;В 1878 году показанная на VI передвижной выставке картина «Московский дворик» принесла В. Д. Поленову славу, явив рождение в русской живописи нового жанра, названного «интимным» пейзажем.;17;['(3)', '(4)']
224;Сюжет услышал от кого-то из газетчиков (1) интервьюировавших меня (2) и (3) захотевших растормошить (4) пересказав историю (5) о том, как владелец цирка прогнал безвестного артиста (6) просившего у него руки дочери, а бедняга за годы фанатической работы подготовил сногсшибательный номер (7) в результате провалившийся на публике, которая не оценила сложность исполнения.;Сюжет услышал от кого-то из газетчиков, интервьюировавших меня и захотевших растормошить, пересказав историю о том, как владелец цирка прогнал безвестного артиста, просившего у него руки дочери, а бедняга за годы фанатической работы подготовил сногсшибательный номер, в результате провалившийся на публике, которая не оценила сложность исполнения.;17;['(1)', '(4)', '(6)', '(7)']
225;Через час Ланэ (1) чисто вымытый (2) переодетый во всё сухое (3) и (4) даже побритый (5) сидел за столом и пил кофе (6) пыхтя (7) и (8) отдуваясь (9) от удовольствия.;Через час Ланэ, чисто вымытый, переодетый во всё сухое и даже побритый, сидел за столом и пил кофе, пыхтя и отдуваясь от удовольствия.;17;['(1)', '(2)', '(5)', '(6)']
226;Двое рыбаков возились с лодкой (1) привязанной к корме (2) одного из баркасов (3) нагруженных (4) дубовой клёпкой и сандалом.;Двое рыбаков возились с лодкой, привязанной к корме одного из баркасов, нагруженных дубовой клёпкой и сандалом.;17;['(1)', '(3)']
227;Дело не в том (1) чтобы знать много (2) а в том (3) чтобы знать из всего того (4) что можно знать (5) самое важное.;Дело не в том, чтобы знать много, а в том, чтобы знать из всего того, что можно знать, самое важное.;19;['(1)', '(2)', '(3)', '(4)', '(5)']
228;Деревья (1) возле (2) которых (3) мы расположились (4) одиноко возвышались среди открытого поля, которое было засеяно рожью и гречихой.;Деревья, возле которых мы расположились, одиноко возвышались среди открытого поля, которое было засеяно рожью и гречихой.;19;['(1)', '(4)']
229;Сидя у костра (1) выбрасывающего в тёмное небо (2) весело потрескивающие (3) искры (4) и (5) слушая краем уха плеск рыбы (6) жирующей в заливе (7) и крики (8) просыпающихся ночных птиц (9) я спросил: «Пап, а что там, в улове, попасться может?»;Сидя у костра, выбрасывающего в тёмное небо весело потрескивающие искры, и слушая краем уха плеск рыбы, жирующей в заливе, и крики просыпающихся ночных птиц, я спросил: «Пап, а что там, в улове, попасться может?»;17;['(1)', '(4)', '(6)', '(7)', '(9)']
230;"Марья Николавна придаёт своему лицу небрежное выражение, встаёт из-за стола и (1) напевая что-то (2) подходит к перилам террасы; долго стоит (3) опершись обеими руками (4) и смотрит на картину (5) широко раскинувшуюся позади сада: на синие озера (6) подёрнутые вечерним туманом (7) на лиловатые кучи (8) столпившихся на западе (9) облаков и бледное небо…";"Марья Николавна придаёт своему лицу небрежное выражение, встаёт из-за стола и, напевая что-то, подходит к перилам террасы; долго стоит, опершись обеими руками, и смотрит на картину, широко раскинувшуюся позади сада: на синие озера, подёрнутые вечерним туманом, на лиловатые кучи столпившихся на западе облаков и бледное небо…";17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)', '(7)']
231;Павел (1) задумавшийся о чём-то и глядевший себе под ноги (2) рассеянно кивал кудрявой головой в такт моим словам, но вдруг резко остановился (3) замерев с открытым от недоумения ртом (4) и (5) попятившись (6) осел на землю от ужаса.;Павел, задумавшийся о чём-то и глядевший себе под ноги, рассеянно кивал кудрявой головой в такт моим словам, но вдруг резко остановился, замерев с открытым от недоумения ртом, и, попятившись, осел на землю от ужаса.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
232;Узнав о скором отъезде отряда (1) я (2) всё-таки огорчённый своим новым положением в лаборатории (3) решил уговорить Рахманова оформить меня картографом в экспедицию (4) и (5) нисколько не жалея (6) попрощался с городской жизнью.;Узнав о скором отъезде отряда, я, всё-таки огорчённый своим новым положением в лаборатории, решил уговорить Рахманова оформить меня картографом в экспедицию и, нисколько не жалея, попрощался с городской жизнью.;17;['(1)', '(2)', '(3)', '(5)', '(6)']
233;Дерсу сообщил мне (1) что зимой (2) когда начинают замерзать реки (3) все крупные пернатые хищники спускаются в низовья рек (4) где им легче найти пропитание.;Дерсу сообщил мне, что зимой, когда начинают замерзать реки, все крупные пернатые хищники спускаются в низовья рек, где им легче найти пропитание.;19;['(1)', '(2)', '(3)', '(4)']
234;Вот там ещё чай пьют, за столом (1) накрытым клеёнкой (2) и глава семьи – кустарь (3) смотря на собственное лицо (4) удлинённое самоваром (5) щиплет гитару, а дети (6) встав коленками на стул (7) и (8) подпёрши кулачками голову (9) часами глядят то на лампу, то на печку, то на уголок пола.;Вот там ещё чай пьют, за столом, накрытым клеёнкой, и глава семьи – кустарь, смотря на собственное лицо, удлинённое самоваром, щиплет гитару, а дети, встав коленками на стул и подпёрши кулачками голову, часами глядят то на лампу, то на печку, то на уголок пола.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)', '(9)']
235;Камень (1) брошенный с берега (2) долго катился (3) скользя по гладкой поверхности (4) и (5) вызывая (6) всё усиливавшийся (7) звон (8) отражаемый эхом горных ущелий.;Камень, брошенный с берега, долго катился, скользя по гладкой поверхности и вызывая всё усиливавшийся звон, отражаемый эхом горных ущелий.;17;['(1)', '(2)', '(3)', '(8)']
236;Детей надо любить всем сердцем (1) и (2) чтобы их любить так (3) мы должны учиться у них проявлять эту любовь (4) поскольку маленькие бесхитростные сердца ещё не научились двуличию.;Детей надо любить всем сердцем, и, чтобы их любить так, мы должны учиться у них проявлять эту любовь, поскольку маленькие бесхитростные сердца ещё не научились двуличию.;20;['(1)', '(2)', '(3)', '(4)']
237;Дети возились рядом с ёлкой (1) и (2) когда они побежали в отцовский кабинет (3) и зажгли там свет (4) все взрослые собрались в комнате бабушки (5) чтобы о чём-то поговорить.;Дети возились рядом с ёлкой, и, когда они побежали в отцовский кабинет и зажгли там свет, все взрослые собрались в комнате бабушки, чтобы о чём-то поговорить.;20;['(1)', '(2)', '(4)', '(5)']
238;Длинной змеёй раскинулся полк (1) и (2) когда лучи солнца попадали на штыки и стволы винтовок (3) видно было (4) как поблёскивало оружие.;Длинной змеёй раскинулся полк, и, когда лучи солнца попадали на штыки и стволы винтовок, видно было, как поблёскивало оружие.;20;['(1)', '(2)', '(3)', '(4)']
239;Дойдя до центрального парка (1) и остановившись перед украшенной мерцающими огнями аркой (2) Данила (3) одетый в лёгкий полушубок (4) и замёрзший до полусмерти (5) искал и не находил брата среди праздничной толпы (6) плотным потоком (7) двигавшейся через распахнутые ворота главного входа к сцене.;Дойдя до центрального парка и остановившись перед украшенной мерцающими огнями аркой, Данила, одетый в лёгкий полушубок и замёрзший до полусмерти, искал и не находил брата среди праздничной толпы, плотным потоком двигавшейся через распахнутые ворота главного входа к сцене.;17;['(2)', '(3)', '(5)', '(6)']
240;Козлята (1) ещё покрытые шелковистыми завитками (2) осторожно тянули из яслей зелёные былинки свежего сена (3) или (4) внезапно очнувшись от оцепенения (5) мягко стуча копытцами (6) по засыпанному опилками полу (7) и неловко взбрыкивая (8) неслись к выходу из амбара (9) сбивая всё на своём пути.;Козлята, ещё покрытые шелковистыми завитками, осторожно тянули из яслей зелёные былинки свежего сена или, внезапно очнувшись от оцепенения, мягко стуча копытцами по засыпанному опилками полу и неловко взбрыкивая, неслись к выходу из амбара, сбивая всё на своём пути.;17;['(1)', '(2)', '(4)', '(5)', '(8)', '(9)']
241;Перебиваясь кое-как со дня на день при помощи бурмистра Якова (1) заменившего прежнего управляющего (2) и (3) оказавшегося впоследствии времени таким же грабителем (4) вспомнил я однажды об одном знакомом соседнем семействе (5) состоявшем из отставной полковницы и двух дочерей (6) велел заложить дрожки и поехал к соседям.;Перебиваясь кое-как со дня на день при помощи бурмистра Якова, заменившего прежнего управляющего и оказавшегося впоследствии времени таким же грабителем, вспомнил я однажды об одном знакомом соседнем семействе, состоявшем из отставной полковницы и двух дочерей, велел заложить дрожки и поехал к соседям.;17;['(1)', '(4)', '(5)', '(6)']
242;Для археологии важны вещественные источники (1) и (2) даже если они спрятаны в земле (3) они всё равно составляют основной разряд памятников (4) исследованием которых занимается эта наука.;Для археологии важны вещественные источники, и, даже если они спрятаны в земле, они всё равно составляют основной разряд памятников, исследованием которых занимается эта наука.;20;['(1)', '(2)', '(3)', '(4)']
243;На другой день (1) Клестов открыл глаза (2) вырвавшись из хаотично воздвигающегося (3) и рушащегося лабиринта снов (4) и (5) увидев брошенную на стол записку (6) вспомнил вчерашнего незнакомца.;На другой день Клестов открыл глаза, вырвавшись из хаотично воздвигающегося и рушащегося лабиринта снов, и, увидев брошенную на стол записку, вспомнил вчерашнего незнакомца.;17;['(2)', '(4)', '(5)', '(6)']
244;Мотоцикл взревел и прыгнул в сторону (1) унося своего седока в кромешный мрак (2) перерытого какими-то канавами (3) и истыканного ямами (4) пустыря (5) и никуда не годной городской окраины (6) так отличавшейся (7) от ухоженного проспекта (8) прорезавшего этот забытый Богом и людьми (9) участок.;Мотоцикл взревел и прыгнул в сторону, унося своего седока в кромешный мрак перерытого какими-то канавами и истыканного ямами пустыря и никуда не годной городской окраины, так отличавшейся от ухоженного проспекта, прорезавшего этот забытый Богом и людьми участок.;17;['(1)', '(6)', '(8)']
245;Окончательно ошалев от своих горестных мыслей (1) старуха несколько раз охранительно перекрестилась (2) и (3) обругав себя (4) принялась заваривать (5) славящийся на всю округу ароматом и вкусом (6) чай, воду для которого она кипятила (7) опустив в чайник большую серебряную гирьку (8) припаянную к длинному стержню (9) расписанному замысловатым мелким узором.;Окончательно ошалев от своих горестных мыслей, старуха несколько раз охранительно перекрестилась и, обругав себя, принялась заваривать славящийся на всю округу ароматом и вкусом чай, воду для которого она кипятила, опустив в чайник большую серебряную гирьку припаянную к длинному стержню, расписанному замысловатым мелким узором.;17;['(1)', '(3)', '(4)', '(7)', '(9)']
246;Получив на другой день в «Компасе» командировочные документы (1) я приладил на спину рюкзак (2) туго набитый солью (3) и банками аргентинской тушёнки (4) и (5) захватив ещё один мешок (6) предназначенный для золота (7) зашагал на станцию Москва-Товарная Казанской железной дороги.;Получив на другой день в «Компасе» командировочные документы, я приладил на спину рюкзак, туго набитый солью и банками аргентинской тушёнки, и, захватив ещё один мешок, предназначенный для золота, зашагал на станцию Москва-Товарная Казанской железной дороги.;17;['(1)', '(2)', '(4)', '(5)', '(6)', '(7)']
247;Для лечения самых разных болезней в медицине широко используется (1) пчелиный яд (2) потребность (3) в котором (4) постоянно растёт.;Для лечения самых разных болезней в медицине широко используется пчелиный яд, потребность в котором постоянно растёт.;19;['(2)']
248;Пройдя (1) трудный горный маршрут (2) и почувствовав сильную усталость (3) альпинисты расположились на отдых в тени серебристых ив (4) разросшихся по берегу быстрой и чистой речушки.;Пройдя трудный горный маршрут и почувствовав сильную усталость, альпинисты расположились на отдых в тени серебристых ив, разросшихся по берегу быстрой и чистой речушки.;17;['(3)', '(4)']
249;Ступая (1) по шумящим листьям тыквы (2) она подошла к низкому плетню (3) и (4) перепрыгнув через него (5) стала подниматься по крутому склону (6) поросшему эвкалиптом (7) и (8) одуряюще сладко пахнувшими (9) акациями в цвету.;Ступая по шумящим листьям тыквы, она подошла к низкому плетню и, перепрыгнув через него, стала подниматься по крутому склону, поросшему эвкалиптом и одуряюще сладко пахнувшими акациями в цвету.;17;['(2)', '(4)', '(5)', '(6)']
250;Ещё много лет с металлическим визгом раскачивался на ветру огромный флюгер (1) омываемый серыми облаками (2) пугая птиц (3) и (4) не давая заснуть старикам (5) иногда собиравшимся на верхней галерее поглазеть на чернеющую на фоне закатного неба пятерню (6) медленно вращающуюся на тросе над сапогом (7) получившим прозвище Галоша (8) и вызывал судорожные приступы мучительно-болезненного скрипа у решётчатой стрелы подъёмного крана (9) забытого на вершине безымянной горы.;Ещё много лет с металлическим визгом раскачивался на ветру огромный флюгер, омываемый серыми облаками, пугая птиц и не давая заснуть старикам, иногда собиравшимся на верхней галерее поглазеть на чернеющую на фоне закатного неба пятерню, медленно вращающуюся на тросе над сапогом, получившим прозвище Галоша, и вызывал судорожные приступы мучительно-болезненного скрипа у решётчатой стрелы подъёмного крана, забытого на вершине безымянной горы.;17;['(1)', '(2)', '(5)', '(6)', '(7)', '(8)', '(9)']
