original;corrected
Илья Ефимович Репин (1) проявивший себя как художник-реалист (2) любил и знал народ, видел силу, талант, доброту (3) таящиеся (4) в нём.;Илья Ефимович Репин NUM проявивший себя как художник-реалист NUM любил и знал народ, видел силу, талант, щедрость NUM таящиеся NUM в нём.
Илья Ефимович Репин (1) проявивший себя как художник-реалист (2) любил и знал народ, видел силу, талант, доброту (3) таящиеся (4) в нём.;Илья Ефимович Репин NUM проявивший себя как художник-реалист NUM любил и знал народ, видел мощь, талант, доброту NUM таящиеся NUM в нём.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро всегда побеждало мстительно.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро всегда побеждало свирепо.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро всегда побеждало мрачно.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро вообще побеждало зло.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро всегда побеждало гнусно.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро всегда побеждало зловеще.
Илюша был впечатлительным ребёнком (1) и он очень любил слушать сказки (2) которые рассказывала ему няня (3) потому что в них было много чудесного (4) а (5) добро всегда побеждало зло.;Илюша был впечатлительным ребёнком NUM и он очень любил слушать сказки NUM которые рассказывала ему няня NUM потому что в них было много чудесного NUM а NUM добро иногда побеждало зло.
Именно (1) в Ташкенте (2) от которого (3) остался на всю жизнь незабытый ужас холода (4) мы провели трудные годы эвакуации.;Именно NUM в Ташкенте NUM от которого NUM остался на всю жизнь незабытый ужас холода NUM мы провели трудные годы передислокации.
Именно (1) в Ташкенте (2) от которого (3) остался на всю жизнь незабытый ужас холода (4) мы провели трудные годы эвакуации.;Именно NUM в Ташкенте NUM от которого NUM остался на всю жизнь незабытый ужас холода NUM мы провели трудные годы переброски.
Именно (1) в Ташкенте (2) от которого (3) остался на всю жизнь незабытый ужас холода (4) мы провели трудные годы эвакуации.;Именно NUM в Ташкенте NUM от которого NUM остался на всю жизнь незабытый ужас холода NUM мы провели трудные годы реэвакуации.
Иногда (1) в экспериментах используются задачи (2) логическая структура (3) которых (4) не имеет аналогов в реальной жизни.;Иногда NUM в экспериментах используются задачи NUM логическая структура NUM которых NUM не имеет аналогов в реальной любви.
Иногда (1) в экспериментах используются задачи (2) логическая структура (3) которых (4) не имеет аналогов в реальной жизни.;Иногда NUM в экспериментах используются задачи NUM логическая структура NUM которых NUM не имеет аналогов в объективной жизни.
Иногда (1) в экспериментах используются задачи (2) логическая структура (3) которых (4) не имеет аналогов в реальной жизни.;Иногда NUM в экспериментах используются задачи NUM логическая структура NUM которых NUM не имеет аналогов в идеальной жизни.
Иногда (1) в экспериментах используются задачи (2) логическая структура (3) которых (4) не имеет аналогов в реальной жизни.;Иногда NUM в экспериментах используются задачи NUM логическая структура NUM которых NUM не имеет аналогов в конкретной жизни.
Иногда (1) в экспериментах используются задачи (2) логическая структура (3) которых (4) не имеет аналогов в реальной жизни.;Иногда NUM в экспериментах используются задачи NUM последовательная структура NUM которых NUM не имеет аналогов в реальной жизни.
Иногда Ивану Петровичу Аргунову (1) всё-таки (2) удавалось целиком отдаться вдохновению. В такой радостный час (3) наверное (4) и создал он портрет неизвестной молодой женщины в праздничном крестьянском платье.;Иногда Ивану Петровичу Аргунову NUM всё-таки NUM удавалось целиком отдаться вдохновению. В такой радостный час NUM наверное NUM и создал он портрет неизвестной молодой женщины в праздничном кулацком платье.
Иногда Ивану Петровичу Аргунову (1) всё-таки (2) удавалось целиком отдаться вдохновению. В такой радостный час (3) наверное (4) и создал он портрет неизвестной молодой женщины в праздничном крестьянском платье.;Иногда Ивану Петровичу Аргунову NUM всё-таки NUM удавалось целиком отдаться вдохновению. В такой радостный час NUM наверное NUM и создал он портрет неизвестной молодой женщины в праздничном сельском платье.
Иногда Ивану Петровичу Аргунову (1) всё-таки (2) удавалось целиком отдаться вдохновению. В такой радостный час (3) наверное (4) и создал он портрет неизвестной молодой женщины в праздничном крестьянском платье.;Иногда Ивану Петровичу Аргунову NUM всё-таки NUM удавалось целиком отдаться вдохновению. В такой радостный час NUM наверное NUM и создал он портрет неизвестной молодой женщины в праздничном помещичьом платье.
Иногда Ивану Петровичу Аргунову (1) всё-таки (2) удавалось целиком отдаться вдохновению. В такой радостный час (3) наверное (4) и создал он портрет неизвестной молодой женщины в праздничном крестьянском платье.;Иногда Ивану Петровичу Аргунову NUM всё-таки NUM удавалось целиком отдаться вдохновению. В такой радостный час NUM наверное NUM и создал он портрет неизвестной молодой женщины в праздничном деревенском платье.
Иногда Ивану Петровичу Аргунову (1) всё-таки (2) удавалось целиком отдаться вдохновению. В такой радостный час (3) наверное (4) и создал он портрет неизвестной молодой женщины в праздничном крестьянском платье.;Иногда Ивану Петровичу Аргунову NUM всё-таки NUM удавалось целиком отдаться вдохновению. В такой радостный час NUM наверное NUM и создал он портрет неизвестной молодой женщины в праздничном бедняцком платье.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать сомневаться.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё прежде нельзя перестать верить.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё теперь нельзя перестать верить.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать думать.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё тогда нельзя перестать верить.
Иногда придёт мысль, которая (1) кажется (2) верной, но боишься поверить ей. Но потом видишь, что та мысль, которая (3) быть может (4) и странная, на самом деле самая простая истина: если раз узнал, в неё уже нельзя перестать верить.;Иногда придёт мысль, которая NUM кажется NUM верной, но боишься поверить ей. Но потом видишь, что та мысль, которая NUM быть может NUM и странная, на самом деле самая простая истина: если раз узнал, в неё рано нельзя перестать верить.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им ранее NUM этюды и даже портреты поэта.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им ранее NUM этюды и даже автопортреты композитора.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им поздно NUM этюды и даже автопортреты поэта.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им ранее NUM этюды и даже автопортреты литературоведа.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им реально NUM этюды и даже автопортреты поэта.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им ранее NUM этюды и даже автопортреты прозаика.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им ранее NUM этюды и даже автопортреты писателя.
Искусствоведы убеждены, что (1) работая над образом поэта Николая Алексеевича Некрасова (2) художник Крамской использовал (3) созданные им ранее (4) этюды и даже автопортреты поэта.;Искусствоведы убеждены, что NUM работая над образом поэта Николая Алексеевича Некрасова NUM художник Крамской использовал NUM созданные им первоначально NUM этюды и даже автопортреты поэта.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM превосходному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM поразительному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM изумительному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM интересному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM необыкновенному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM прекрасному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM гениальному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на выгоду общества. Увлечённый живописью, он положил начало NUM поистине NUM замечательному собранию картин.
Третьяковская галерея (1) как известно (2) названа в честь Павла Михайловича Третьякова  — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало (3) поистине (4) замечательному собранию картин.;Третьяковская галерея NUM как известно NUM названа в честь Павла Михайловича Третьякова — купца, употребившего своё богатство на пользу общества. Увлечённый живописью, он положил начало NUM поистине NUM замечательному заседанию картин.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные черты в творчестве Ломоносова.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные индивидуальности в творчестве Ломоносова.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные черты в творчестве келдыша.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные черты в творчестве плеханова.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные черты в произведении Ломоносова.
Исследование (1) посвящено жанру торжественной оды (2) поэтика (3) которой (4) приобретает самобытные черты в творчестве Ломоносова.;Исследование NUM посвящено жанру торжественной оды NUM поэтика NUM которой NUM приобретает самобытные черты в творчестве хруничева.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, речная зыбь побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, речная рябь побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, водная гладь побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, волжская гладь побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, речная голубизна побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, маломерная гладь побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, речная синева побледнела.
Июльский вечер был замечательный, он (1) словно (2) набросил тонкую полупрозрачную ткань на всё. И краски дня (3) казалось (4) слегка поблёкли: облака медленно теряли отблески, речная гладь побледнела.;Июльский вечер был замечательный, он NUM словно NUM набросил тонкую полупрозрачную ткань на всё. И краски дня NUM казалось NUM слегка поблёкли: облака медленно теряли отблески, озёрная гладь побледнела.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли предыдущие силы.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли последующие силы.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли четвёртые силы.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли первые силы.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли следующие силы.
К вечеру пошёл дождь (1) и (2) пока мы ехали по просёлку (3) лошади еле переступали (4) будто потеряли последние силы.;К вечеру пошёл дождь NUM и NUM пока мы ехали по просёлку NUM лошади еле переступали NUM будто потеряли третьи силы.
К острому запаху крапивы примешивается душноватый запах медуниц (1) и (2) когда вы погладите руками растущие травы (3) чтобы ощутить их нежную бархатистость (4) то руки пропахнут холодящим запахом мяты.;К острому запаху крапивы примешивается душноватый запах медуниц NUM и NUM когда вы погладите руками растущие травы NUM чтобы ощутить их нежную бархатистость NUM то ручонки пропахнут холодящим запахом мяты.
К острому запаху крапивы примешивается душноватый запах медуниц (1) и (2) когда вы погладите руками растущие травы (3) чтобы ощутить их нежную бархатистость (4) то руки пропахнут холодящим запахом мяты.;К острому запаху крапивы примешивается душноватый запах медуниц NUM и NUM когда вы погладите руками растущие травы NUM чтобы ощутить их нежную бархатистость NUM то руки пропахнут холодящим ароматом мяты.
К острому запаху крапивы примешивается душноватый запах медуниц (1) и (2) когда вы погладите руками растущие травы (3) чтобы ощутить их нежную бархатистость (4) то руки пропахнут холодящим запахом мяты.;К острому запаху крапивы примешивается душноватый запах медуниц NUM и NUM когда вы погладите руками растущие травы NUM чтобы ощутить их нежную бархатистость NUM то ладони пропахнут холодящим запахом мяты.
К острому запаху крапивы примешивается душноватый запах медуниц (1) и (2) когда вы погладите руками растущие травы (3) чтобы ощутить их нежную бархатистость (4) то руки пропахнут холодящим запахом мяты.;К острому запаху крапивы примешивается душноватый запах медуниц NUM и NUM когда вы погладите руками растущие травы NUM чтобы ощутить их нежную бархатистость NUM то ноги пропахнут холодящим запахом мяты.
К острому запаху крапивы примешивается душноватый запах медуниц (1) и (2) когда вы погладите руками растущие травы (3) чтобы ощутить их нежную бархатистость (4) то руки пропахнут холодящим запахом мяты.;К острому запаху крапивы примешивается душноватый запах медуниц NUM и NUM когда вы погладите руками растущие травы NUM чтобы ощутить их нежную бархатистость NUM то руки пропахнут холодящим привкусом мяты.
